id,pair_id,pair_suffix,label,original_split,assigned_split,text
4.713.N,4.713,N,0,train,test,O que é um anão? É um Humano.
5.457.H,5.457,H,1,train,test,Por que o diabo gosta de carro pequeno? Porque é com pacto.
5.3787.H,5.3787,H,1,train,train,Qual ator estrangeiro já foi PM? Guiliano Algemma
5.3868.N,5.3868,N,0,train,test,Qual marca de hotéis virou presidente? Trump.
5.3612.N,5.3612,N,0,train,train,Qual é a loja que fez um estande em volta do doritos? As Lojas Americanas.
5.2930.N,5.2930,N,0,train,train,O que o policial disse à seleção argentina? Mãos ao alto!
5.1772.H,5.1772,H,1,train,validation,O que um diretor da Ubisoft foi fazer na África? Um SaFari Cry.
5.1053.H,5.1053,H,1,train,test,Qual filósofo conseguiu virar todas as quatro cadeiras do The Voice? Kant.
5.1714.H,5.1714,H,1,train,train,Você gosta de Katy Perry? Katy perguntou?
4.656.H,4.656,H,1,train,train,Por que é que o Pai Natal não vai entregar as prendas a tempo? Porque tem os trabalhadores duendes.
5.2517.H,5.2517,H,1,train,train,Qual herói da literatura atirava em patos? Duck Shot de la Mancha.
4.264.N,4.264,N,0,train,train,Porque é que na escola as meninas desenham sempre florzinhas e coraçõezinhos no caderno? Porque assim decoram o caderno.
4.456.H,4.456,H,1,train,validation,"Era uma vez um homem tão pequeno, mas tão pequeno, que não andava de metro. Andava de centímetro."
5.1205.N,5.1205,N,0,train,train,Por que o pessoal do Nordeste se orgulha do GPS? Porque ele fala: Você chegou no destino.
5.1050.N,5.1050,N,0,train,train,Qual a serie de anime que louva o tabaco? One Piece.
5.360.H,5.360,H,1,train,train,Por que o casal de patos sempre tomam banho quando discutem? Para deixar tudo em patos limpos.
4.483.N,4.483,N,0,train,validation,Porque é que há tantas mulheres feias? Porque a verdadeira beleza está no interior.
4.153.H,4.153,H,1,train,train,O que é que as freiras comem ao pequeno almoço? Papa.
5.2882.N,5.2882,N,0,train,train,Personagem que adora Leite? Pernalonga
5.307.H,5.307,H,1,train,validation,Qual a inflamação que manja de futebol? O Tite.
4.114.N,4.114,N,0,train,train,Um veterinário está a descrever o que costuma ver ao mesmo tempo . Qual é o filme? Como cães e gatos.
5.2531.N,5.2531,N,0,train,train,Por que o Tiger Woods teve que comprar um tanque enorme? Porque ele ganhou um crustáceo.
5.3127.N,5.3127,N,0,train,train,Qual programa onde você fala com um carro? O assistente pessoal.
4.473.H,4.473,H,1,train,train,Quem estiver desempregado fale com alguns bebés. Ouvi dizer que dão muito trabalho.
5.16.H,5.16,H,1,train,train,Para onde as pulgas vão quando morrem? Para o pulgatório.
5.2393.H,5.2393,H,1,train,train,Qual é o canal infantil que só transmite batida de carro? Car Tum Network.
5.2174.N,5.2174,N,0,train,test,O que o diplomata recebeu no whatsapp? Oi
4.701.H,4.701,H,1,train,test,"Estou a depenar um frango e acabei de arrancar a última pena. Esperem, afinal era a penúltima."
5.3656.H,5.3656,H,1,train,train,Qual vilão da Marvel data do período paleolítico?  Dormammute.
5.327.H,5.327,H,1,train,test,Desde quando o pedreiro comete erros de concordância? Desde seu “Na Cimento”
5.2872.H,5.2872,H,1,train,test,Por que o chefe do tráfico foi pra Itália? Porque quem tem boca vai a Roma. 
5.1838.N,5.1838,N,0,train,train,O que o velho vaidoso disse em frente ao espelho? Lindo!
5.3366.N,5.3366,N,0,train,train,Qual ex-jogador de futebol trabalhava com construção civil? Túlio Maravilha.
5.1441.H,5.1441,H,1,train,train,O que o escorregador falou para o outro? Aqui os ânus passam depressa.
5.1744.N,5.1744,N,0,train,train,Qual é o repórter que mais gagueja? Caco Barcelos.
4.507.N,4.507,N,0,train,train,Como é que se faz azeite virgem? Com azeitonas.
4.38.N,4.38,N,0,train,train,Hoje vi uma empregada do Pingo Doce a marcar o preço nos produtos aos calhas . Ela devia estar só a pressupor os valores.
4.216.H,4.216,H,1,train,train,"Quanto tinha 11 anos só queria receber uma carta de Hogwarts a dizer que eu era um feiticeiro. Enfim, não se Potter tudo."
5.2110.H,5.2110,H,1,train,train,Em que região do país os casais vivem de libidinagem? Na roça
4.665.H,4.665,H,1,train,train,O que disse a Selena Gomez quando encontrou o aspirador? Taki Taki Roomba!
5.1496.H,5.1496,H,1,train,train,"Estavam dois frangos voando, aí um disse ""Peraí, frango não voa"" e caiu no chão, mas o outro continuou voando. Por quê? Porque era um frango à passarinho."
5.632.H,5.632,H,1,train,train,A Manuela anda com a foto de São Pedro no carro pra evitar que ele quebre. Por quê? PORQUE A MANU TEM SÃO
4.221.N,4.221,N,0,train,train,"Os Xutos e Pontapés vão lançar uma música sobre geometria . Vai-se chamar: "" Contentores ""."
5.2994.H,5.2994,H,1,train,train,Qual animal faz promoções na padaria? Urso PÃOda.
4.118.N,4.118,N,0,train,train,Como é que se faz azeite virgem num restaurante? Com as azeitonas que não foram usadas
5.356.N,5.356,N,0,train,train,Como a cebola e o alho trocam mensagens de texto? Por Telegram.
5.4014.N,5.4014,N,0,train,test,Por que no interiorzão não dá pra ouvir música? Porque lá o silêncio impera.
5.1884.H,5.1884,H,1,train,train,Qual é o cantor favorito da Ludmila? Funk Aguiar 
5.3981.H,5.3981,H,1,train,train,Qual o super herói dono de uma igreja? Homem de Fé rro.
5.614.H,5.614,H,1,train,train,Qual é o carro preferido do Wolverine? Logan.
5.2839.H,5.2839,H,1,train,train,O que o médico aplicou no paciente que quebrou a perna? InGessão
5.158.H,5.158,H,1,train,train,Qual é o alimento que só pode ser servido em duas mesas de tamanho considerável? Parmesão.
4.140.H,4.140,H,1,train,train,"A Cinha Jardim convidou as amigas todas a irem lá a casa, mas ninguém apareceu. Como se chama o filme? Só Cinha em casa."
4.535.N,4.535,N,0,train,train,O que é mil vezes melhor do que o Instagram? O Facebook.
5.3741.N,5.3741,N,0,train,train,Qual comentarista esportivo se gaba da reforma em seu domicílio? Galvão Bueno.
5.2965.H,5.2965,H,1,train,train,Por que o Ciro Gomes fez implante? Problemas CaPillar.
4.224.N,4.224,N,0,train,test,Vira-se um porta-moedas para uma carteira: nunca reparas em mim ...
5.3523.N,5.3523,N,0,train,train,Em qual brincadeira eu só aceito gente inteligente? Tiro ao alvo.
4.460.H,4.460,H,1,train,train,O que é um terapeuta? São 1024 gigapeutas.
5.1856.N,5.1856,N,0,train,train,"Sabe qual a fruta que fica putaça, reclama e vai embora? Abacaxi."
5.2661.N,5.2661,N,0,train,validation,Quais as três letras que te perguntam o motivo de tudo? Nenhuma?
4.87.N,4.87,N,0,train,test,Que nome se dá a uma chinesa muito docinha? Lee.
5.2731.N,5.2731,N,0,train,train,Qual é a Luta mais praticada nos quadrinhos japoneses? Karatê
4.540.H,4.540,H,1,train,train,Que carro conduz a professora de matemática? Um 4x4.
5.2406.N,5.2406,N,0,train,train,Porque o jogador de futebol resolveu treinar na piscina? Para melhorar os passes.
5.186.H,5.186,H,1,train,test,"O que o tijolo falou para o outro tijolo? ""Há um ciumento entre nós""."
5.3957.N,5.3957,N,0,train,test,Qual rapper que te convidava pro sexo oral? RM.
4.633.N,4.633,N,0,train,train,Vira-se uma secretária para outra: Esta folha é tua ou é impressão minha?
5.1292.H,5.1292,H,1,train,train,O que o Sam da série Supernatural disse pro irmão quando viu um cara andando com um macaco no ombro? Aladdin.
4.349.H,4.349,H,1,train,train,"Um homem ia-se mandar dum prédio, passa um físico lá em baixo: Não faça isso! Você tem muito potencial!"
5.665.N,5.665,N,0,train,train,Qual é o personagem do Sítio do Pica Pau Amarelo que vivia bebendo vinho? Emília.
5.761.H,5.761,H,1,train,train,Qual a parte mais forte do corpo humano? O super-cílio.
4.188.H,4.188,H,1,train,train,Porque é que o poste caiu? Tinha alta tensão.
5.794.N,5.794,N,0,train,train,Qual o cantor que sofre de incontinência urinária? Wesley Safadão.
2.2.H,2.2,H,1,train,test,Quem há de nos salvar da hipotenusa? O Cateto Fantástico.
5.2154.N,5.2154,N,0,train,train,"O Cebolinha e o Cascão estavam chupando pirulito . De repente, o Cebolinha pegou o pirulito do Cascão . Qual o nome do filme? Os outros"
4.644.H,4.644,H,1,train,test,"Para quem não viu o eclipse ontem à noite, no fim o Edward fica com a Bella."
5.171.H,5.171,H,1,train,test,Por que o pedreiro que trabalha com o Sílvio Santos ficou sem lugar para morar? Porque o peão dá a casa própria.
5.26.N,5.26,N,0,train,train,Qual grupo de pagode odeia o final dos parabéns? Só pra Contrariar.
5.56.H,5.56,H,1,train,test,Qual creme de barbear parece um esperma? Gozzano.
5.3625.H,5.3625,H,1,train,test,Qual a banda que ajuda as pessoas a alcançar a seu destino?  Owazes.
5.2381.H,5.2381,H,1,train,test,Qual cantora é mais de uma? A Duas Lipa
5.3200.N,5.3200,N,0,train,train,Qual é a cantora que toma calmante no avião? Anitta.
4.423.N,4.423,N,0,train,train,Porque é que o Salvador não se perde em Barcelona? Porque ele tem Google Maps.
5.556.N,5.556,N,0,train,train,Como o Superman escolhe o queijo? Usando a visão de raio X.
5.850.N,5.850,N,0,train,train,Qual o X-Men que morre de vontade de conhecer o Inri Cristo? Charles Xavier.
5.1310.H,5.1310,H,1,train,train,Onde as aranhas compram material de construção? Teia Norte.
5.1910.N,5.1910,N,0,train,train,Em qual cidade ninguém é mais virgem? Juiz de fora.
5.3785.H,5.3785,H,1,train,train,Qual o jogo preferido dos estudantes que moram juntos? Riders República.
3.9.N,3.9,N,0,train,train,Ana e Pedro tiveram um filho . Ele nasceu de cesariana.
5.3174.H,5.3174,H,1,train,train,Qual médico que só cuida de tetas? Drauzio VêAuréolas.
5.26.H,5.26,H,1,train,train,Qual grupo de pagode odeia o final dos parabéns? Sopra Contrariado.
5.3316.N,5.3316,N,0,train,validation,Qual cidade tem muitos marceneiros? São Paulo.
5.2268.H,5.2268,H,1,train,train,Qual deus favorito do faustão ? Alá
5.2760.N,5.2760,N,0,train,train,Qual o grupo musical favorito dos leões? Queen.
4.46.H,4.46,H,1,train,train,Estão dois gatinhos à procura da mãe. Qual é o filme? Mamma mia!
5.1682.N,5.1682,N,0,train,train,Qual é o peixe que te dá um título de nobreza? Baiacu.
5.2841.H,5.2841,H,1,train,train,Qual o ator que produz vinho? Vinícolas Cage 
5.354.N,5.354,N,0,train,test,Por que Singapura foi na festa dos países? Pra socializar.
4.224.H,4.224,H,1,train,train,Vira-se um posta-moedas para uma carteira: nunca notas em mim...
5.1005.N,5.1005,N,0,train,test,Do que sofre a socialite quando vai às compras? De tique nervoso.
5.3324.N,5.3324,N,0,train,train,Qual tecladista toca música relaxante? Wakeman.
5.491.N,5.491,N,0,train,train,Por que o coelho quebrou os dentes ao comer o protetor solar? Porque era duro.
5.925.H,5.925,H,1,train,test,Qual o animal mais educado que existe? Gentilesma.
5.3500.H,5.3500,H,1,train,train,Qual a bacteria que só prega em mulher? Salmo nelas.
5.4087.H,5.4087,H,1,train,test,Que dupla te passa doença e sermão? Atchim & Esporro.
5.1598.N,5.1598,N,0,train,validation,Qual é o animal que voa no deserto? Abutre.
3.13.N,3.13,N,0,train,train,Sabe por que o pinheiro não se perde na floresta? Porque ele não se move.
4.287.N,4.287,N,0,train,train,O que diz uma pessoa quando entra na casa de banho? Que cheiro!
5.1498.N,5.1498,N,0,train,test,O que o galo foi fazer na delegacia? Denunciar.
5.3298.H,5.3298,H,1,train,train,Qual cara que trabalhava com computadores e começou a salvar judeus? Analista de Schindler.
5.4056.N,5.4056,N,0,train,train,Qual o alimento que ajuda na obra de Deus? Arroz.
5.2679.H,5.2679,H,1,train,validation,Qual padre é um cavalo? Marcelo Horse.
2.20.H,2.20,H,1,train,test,Eu odeio academia. Mas o Tim Maia.
5.1234.H,5.1234,H,1,train,test,Qual o nome da namorada do John Lennon que beijava mulheres? Yoko Homo.
4.467.N,4.467,N,0,train,train,"Como é que os cereais acabam uma relação? Não és tu, sou eu."
5.535.N,5.535,N,0,train,train,Por que a piscina estava sem água? Porque esvaziaram.
5.883.H,5.883,H,1,train,train,Qual cantor só pensa em dinheiro? Lucas Lucro.
5.3508.H,5.3508,H,1,train,train,Qual rapper é também um ótimo detetive? Marcelo Deduz.
5.2980.H,5.2980,H,1,train,validation,Qual o grupo de pagode tem os melhores transantes? Art Copular.
5.500.H,5.500,H,1,train,train,Qual ator que chega em março e vai embora em junho? Outono Fagundes.
5.2785.H,5.2785,H,1,train,train,Qual estado americano é uma farpa? A lasca.
5.3530.N,5.3530,N,0,train,train,Como se chama a tatuagem feita num velho? Tatuagem no vô.
5.3221.N,5.3221,N,0,train,train,Qual cantor só dá mancada? Wesley Safadão.
4.660.H,4.660,H,1,train,train,"Como se chama um cão sem patas? Não se chama, vai-se buscar."
4.253.H,4.253,H,1,train,test,Porque é que os polícias não gostam de sabão? Porque preferem deter gente.
5.2675.N,5.2675,N,0,train,train,Qual cantor sempre manda uma jogada boa no baralho? Nando Reis.
5.2156.H,5.2156,H,1,train,train,Qual comida sobreviveu ao naufrágio do Titanic? Arroze 
5.1980.H,5.1980,H,1,train,train,Qual o dispositivo usado pra enxergar melhor uma determinada nota musical? Óculos de Sol 
5.513.H,5.513,H,1,train,train,Qual o contrário de diagnóstico? Noite crente.
4.609.H,4.609,H,1,train,train,Um fulano passou três dias na piscina e depois foi ao médico. Qual foi o diagnóstico? Nada demais.
5.3301.N,5.3301,N,0,train,test,"Se honestidade responsabilidade e humildade pudessem ser negociados, onde se daria essa negociação? Na igreja."
4.544.N,4.544,N,0,train,train,"A Érica e a Ester decidiram adotar uma jovem . Quando ela soube, ficou feliz."
5.1530.N,5.1530,N,0,train,train,"Qual a banda que não pode andar de avião, pois nunca passa na segurança do aeroporto? Cannibal Corpse."
4.575.H,4.575,H,1,train,train,Vira-se a mãe pata para o patinho: Anda quá!
5.3155.H,5.3155,H,1,train,train,Qual atriz deveria ter feito parte do elenco de Vingadores? Brooke S.H.I.E.L.D
4.735.N,4.735,N,0,train,train,O que é que a vegan fez à carnívora? Nada.
5.2752.H,5.2752,H,1,train,train,"""""""Qual o poeta mais mortal da língua portuguesa? Mário Kitana"""""""
5.420.N,5.420,N,0,train,train,Qual fruta nasce às margens do Rio Negro? Maçãs.
4.164.H,4.164,H,1,train,test,Como se faz cócegas a um rico? Gucci Gucci Gucci!
5.1541.N,5.1541,N,0,train,validation,O que é um ponto marrom no pulmão? Uma Tuberculose.
5.1837.H,5.1837,H,1,train,train,Qual é o apresentador que me dá tesão? Otávio me Excita
5.1055.N,5.1055,N,0,train,train,Por que não reconheceram o idoso no avião? Porque ele estava usando uma máscara de oxigênio.
5.1602.H,5.1602,H,1,train,train,Qual é a novela em que Antônio Fagundes faz uso de entorpecentes? O Rei Dro Gado.
5.3242.H,5.3242,H,1,train,validation,Qual é a técnica que faz o nariz obedecer todas as ordens? HipiNOSE.
4.380.H,4.380,H,1,train,test,Qual é o prato prefeiro da Xana? Toc Toc.
5.2746.N,5.2746,N,0,train,train,Qual o estado onde são assassinados todos os gaúchos ignorantes? Amazonas
5.210.H,5.210,H,1,train,train,"A funkeira ficou 1 mês com monges. O que ela falou quando saiu? ""Que retiro foi esse?"""
4.452.N,4.452,N,0,train,test,"O que diz um bombista suicida quando chega ao paraíso e encontra as 72 virgens? Olá meninas, acabo de chegar ..."
4.573.H,4.573,H,1,train,train,Porque é que os cemitérios têm paredes? Porque as pessoas estão mortinhas por entrar lá dentro.
5.2189.N,5.2189,N,0,train,test,Quem é a cantora que trabalha com transporte público nos Estados Unidos?  Beyoncé
4.360.N,4.360,N,0,train,train,Porque é que o Pedro se divorciou? Porque a mulher não servia para nada.
4.584.H,4.584,H,1,train,test,Que nome se dá a um unicórnio zarolho? Uni córnea.
5.3400.N,5.3400,N,0,train,validation,Em qual série não gostam de uma banda de rock? Todo mundo odeia o Chris.
4.91.N,4.91,N,0,train,train,O que diz uma aranha carente? Saudades!
5.1303.H,5.1303,H,1,train,train,Qual o chá preferido dos britânicos para se acalmar? C'mon Mila.
5.2371.H,5.2371,H,1,train,train,Por que quando a sala estava gelada todos aumentavam seu vocabulário? Por causa do ar condicionário.
5.2415.H,5.2415,H,1,train,train,Qual é a cidade que quer ser um instrumento musical?  Itaquaquecetuba.
5.3261.N,5.3261,N,0,train,validation,Por que o Thiago Ventura teve dor de barriga quando foi em Holambra? Porque viu a flora.
5.974.H,5.974,H,1,train,validation,Qual é o coletivo mais insensível que existe? Ama nada.
5.749.N,5.749,N,0,train,train,Qual parte do automóvel é uma lenda? Estepe.
5.3337.N,5.3337,N,0,train,train,Qual político nunca estava sozinho? Joe Biden.
4.302.H,4.302,H,1,train,train,O que é um tério? São dois cemitérios.
4.630.H,4.630,H,1,train,test,Por que é que os surfistas comem a comida fria? Porque detestam micro ondas.
5.41.H,5.41,H,1,train,train,Qual cantora brasileira só cria galinha? Ivete Sem Galo.
5.1270.H,5.1270,H,1,train,test,Por que os jogadores da Suíça tem covinhas? Porque eles tem queixo suíço.
5.89.H,5.89,H,1,train,train,Por que o cozinheiro vivia cansado? Porque ele ligava o exaustor.
5.2280.H,5.2280,H,1,train,train,Qual é a comida muito apreciada pelos radicais chineses da Al-Qaeda? Bin Lámen 
4.552.N,4.552,N,0,train,train,Como é que um Pokémon espirra? Atchim!
5.1958.N,5.1958,N,0,train,train,Que apresentador enche o copo com óleo? Raul Gil.
5.85.N,5.85,N,0,train,test,Qual é a tartaruga ninja que vive na Disney? O Miquelângelo.
5.4032.H,5.4032,H,1,train,train,"Por que quando eu gritava dentro da caverna, o som só se repetia uma vez ? Porque era um Eco nômico."
5.2980.N,5.2980,N,0,train,train,Qual o grupo de pagode tem os melhores transantes? Arte Popular.
5.1170.N,5.1170,N,0,train,train,Como chama o programa em q artistas não profissionais se apresentam para um júri e engordam bagarai? Show de engorda.
5.976.N,5.976,N,0,train,validation,Qual passarinho adora televisão? Pardal.
4.243.H,4.243,H,1,train,train,"O que diz um reboque a afogar-se pela segunda vez? Pronto, socorro..."
5.10.N,5.10,N,0,train,train,Qual é o nome do político que tem mal de Parkinson? Eduardo Suplicy.
5.2403.H,5.2403,H,1,train,test,Qual o torresmo que nunca está de bem com a vida? O Torresmungando
5.3987.N,5.3987,N,0,train,train,"Qual artista pop era porco gordo, mas era irresistível? Baicon Jackson."
4.487.H,4.487,H,1,train,train,Para onde vão descansar as pessoas que caem das motas? Para uma ilha re-mota.
5.674.N,5.674,N,0,train,test,Qual parente sempre deixa um pouco de comida no prato? A prima.
5.2436.H,5.2436,H,1,train,validation,Qual é a música favorita dos barbeiros? Johnny BiGode.
5.848.H,5.848,H,1,train,train,Qual personagem da Disney que ninguém gosta? Amarga Rida.
5.3216.N,5.3216,N,0,train,train,Em qual apresentador vomitaram? Rodrigo Faro.
4.72.N,4.72,N,0,train,train,Porque é que os filhos do Bin Laden são felizes? Porque o pai ama-os.
5.245.N,5.245,N,0,train,train,Qual é o cantor que está sempre perdido? Stevie Wonder?
5.2908.N,5.2908,N,0,train,train,Qual churrascaria serve quase nada de comida no seu rodízio? Fogo de chão
5.1993.N,5.1993,N,0,train,train,"Qual o livro que conta as aventuras de um cavaleiro que não usava armadura, mas que deixavam as coxas à mostra? Dom Que Shorts!"
5.1981.H,5.1981,H,1,train,test,Como se chama o ato de um ministro comer a primeira dama? Uma metida provisória 
5.933.H,5.933,H,1,train,train,Qual é o nome do especialista em temperar carnes que não se esquecia do passado?  O Sal Dosista.
5.1961.N,5.1961,N,0,train,train,Qual o romano mais malhado que existe? Adriano.
4.155.H,4.155,H,1,train,train,Hoje sentei-me em cima duma ventosa. Fez va-cu.
5.2329.H,5.2329,H,1,train,train,O que o videogame triste espera que a gente faça? Que o console.
5.574.H,5.574,H,1,train,test,Qual o estúdio de dublagem que mais tinha brigas? Herbert Rixas.
2.14.H,2.14,H,1,train,train,Por que o astronauta cometeu um homicídio no espaço e não foi preso? Porque foi um crime sem gravidade.
5.2888.H,5.2888,H,1,train,train,qual atriz deixa os carecas cabeludos? Patrícia Cápilar 
4.666.N,4.666,N,0,train,test,Que chá bebem os colombianos? Chá verde.
2.10.N,2.10,N,0,train,validation,Como o padre bateu o carro? Dando uma ré.
5.2973.H,5.2973,H,1,train,train,Qual personagem de conto de fadas é uma divindade na Espanha? El Mágico Dios
5.2811.H,5.2811,H,1,train,train,Profissional que conhecia tudo a respeito de suínos? Ex Perito de Porco 
5.1908.H,5.1908,H,1,train,test,Qual é a nacionalidade da pessoa apaixonada por um alcoólatra? Amor e Cana 
5.3610.H,5.3610,H,1,train,test,Qual é a série em que todo mundo que é policial tem que sair? C.S.I.
5.2965.N,5.2965,N,0,train,test,Por que o Ciro Gomes fez implante? Ele estava careca.
5.986.N,5.986,N,0,train,test,Qual é o jogo de tabuleiro favorito do Goku? Go.
5.3433.H,5.3433,H,1,train,train,Qual o nome do chinês que adora doce? Chan Ti Lee.
5.2763.H,5.2763,H,1,train,train,Qual a banda que so gosta de baixinhas? Detona Altas.
4.417.H,4.417,H,1,train,train,Porque é que os daltónicos têm péssima memória? Porque não sabem nada de cor.
5.575.N,5.575,N,0,train,train,Qual a cor do medo? A cor azul.
5.553.H,5.553,H,1,train,train,O que a Minnie falou pro namorado dela quando encostou na fogueira? Mickey mou Zé.
5.167.H,5.167,H,1,train,train,"O que o padrinho da faca disse?  ""Oi, afiado""."
5.727.N,5.727,N,0,train,train,Quando os norte-coreanos vão comemorar a Páscoa? Quando o mês chegar.
5.306.H,5.306,H,1,train,train,Qual problema de saúde recorrente em matemáticos? Problema DIVISÃO
5.4040.H,5.4040,H,1,train,test,Qual o cavaleiro que participava de vários leilões ao mesmo tempo? Lance em lote.
5.489.N,5.489,N,0,train,train,Qual piloto tem pacto com o Diabo? Barrichello.
5.1021.H,5.1021,H,1,train,train,Qual galaxia treina com nutricionista? A Milky Whey
5.1929.H,5.1929,H,1,train,train,Qual idioma favorece o tráfico de órgãos? Manda rim 
5.2012.H,5.2012,H,1,train,train,Que apresentador vive tomando Dramin? Rodri Gorfaro 
4.77.H,4.77,H,1,train,train,"Se o futuro depende dos teus sonhos, não percas tempo. Vai dormir."
4.140.N,4.140,N,0,train,train,"A Cinha Jardim convidou as amigas todas a irem lá a casa, mas ninguém apareceu . Como se chama o filme? Sozinho em casa."
5.1381.N,5.1381,N,0,train,test,Por que colocaram uma cama elástica no Polo Norte? Para o urso brincar.
5.410.H,5.410,H,1,train,train,Qual a história sobre um pagodeiro que decidiu roubar o marido de uma princesa? O Belo e a Fera.
5.1100.N,5.1100,N,0,train,test,Qual é a regra de matemática preferida dos funkeiros? Regra de três.
5.3808.N,5.3808,N,0,train,train,Qual cantor mais cínico que existe? Pepino di Capri.
4.41.N,4.41,N,0,train,train,O rei de Espanha é viciado em Coca-Cola . E a filha em Pepsi.
4.738.N,4.738,N,0,train,train,O meu amigo fez anos ontem . Fiz-lhe uma festa.
4.95.N,4.95,N,0,train,test,Qual é a única profissão que necessita de verniz de unhas para trabalhar? É a manicure.
5.3955.N,5.3955,N,0,train,train,Que diretor de cinema era radioativo? Jack Thorne.
5.823.N,5.823,N,0,train,validation,Qual a banda que não deve nada pra ninguém? Skank.
5.3218.H,5.3218,H,1,train,train,Qual piloto nos enchia de orgulho? Emerson FittiProud.
5.2306.H,5.2306,H,1,train,train,Qual jornalista se especializou em falar de lanche de rua no Rio? Ana Paula Podrão.
5.4057.H,5.4057,H,1,train,test,Qual rapper nasceu na Itália? Romano Brown.
5.2244.N,5.2244,N,0,train,train,Qual a sobremesa favorita do marceneiro? Leite moça
5.1116.H,5.1116,H,1,train,test,Por que os jacarés só andavam em dois? Porque são reptildos.
4.43.N,4.43,N,0,train,train,Porque é que o caracol foi preso? Porque deixou baba.
5.3272.N,5.3272,N,0,train,validation,Qual a janta favorita do ET? Ovine de Codorna.
5.9.H,5.9,H,1,train,train,Qual é a resistência elétrica de um sabre de luz? 1 ohm.
5.3163.H,5.3163,H,1,train,test,Por que a pessoa que não melhora de vida não quebra as coisas nunca? Porque tá estrague nada.
5.3119.N,5.3119,N,0,train,validation,Qual o nome da mãe do super-herói que nunca vai em praia com águas geladas? Martha Wayne.
5.2341.H,5.2341,H,1,train,test,Qual meia da seleção joga na posição que o técnico preferir? Renato Aogosto.
3.10.N,3.10,N,0,train,train,Como é que as freiras secam a roupa? Secadora.
5.1150.H,5.1150,H,1,train,train,O que a mãe do chinês falou para ele fazer quando brigarem com ele? Xing.
5.2005.N,5.2005,N,0,train,train,Qual é o peixe cristão que vive fora d’água? Sardinha
5.752.N,5.752,N,0,train,train,Qual é o doce favorito do átomo? Paçoca.
5.415.H,5.415,H,1,train,test,Qual é o restaurante favorito dos maconheiros? O Outbeck.
5.2721.H,5.2721,H,1,train,train,Qual personagem de Mario gosta de tirar os outros do poder? Princesa imPeachment.
4.3.H,4.3,H,1,train,train,Quem é aquela velhinha ali a ouvir música no telemóvel? É a avó da fone.
5.3198.H,5.3198,H,1,train,train,Qual cantora que adora esfiha? Habbibis Ferreira.
5.2563.N,5.2563,N,0,train,train,"Quando um extraterrestre cai, o que ele passa no machucado? Remédio."
4.616.N,4.616,N,0,train,test,Por que é que os hospitais não atendem telefones? Porque para isso há a Saúde 24.
4.11.H,4.11,H,1,train,test,Qual é o animal mais romântico? É a amêijoa. Porque dorme em conchinha.
